,0,1,2,3,4,5,6,7,8,9,10,11,12
Campeche,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Chiapas,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}",,,,,,,,,,,
Chihuahua,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Coahuila,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Colima,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}","{'Link': 'https://www.informador.mx/jalisco/Clima-Guadalajara-Onda-de-calor-afecta-la-temperatura-del-AMG-20250325-0067.html', 'Title': 'Clima Guadalajara: Onda de calor afecta la temperatura del AMG', 'Source': 'El Informador', 'Date': 'hace 11 horas'}",,,,,,,,,,
Durango,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Guanajuato,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Guerrero,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}",,,,,,,,,,,
Michoacán,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}",,,,,,,,,,,
Nayarit,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Nuevo León,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.meteored.mx/clima_Surfontaine-Europa-Francia-Aisne--1-36723.html', 'Title': 'Clima en Surfontaine. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}","{'Link': 'https://www.meteored.mx/clima_Sofyino-Europa-Rusia-Oblast+de+Ulianovsk--1-253616.html', 'Title': 'Clima en Sofyino. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}",,,,,,,,,,
